NAME,lon,lat
"Martinsville, VA",-79.874,36.683
"Helena, MT",-112.296,46.813
"Greeley, CO",-104.392,40.555
"Cheyenne, WY",-104.689,41.307
"Tahlequah, OK",-95.000,35.907
"Marshalltown, IA",-92.999,42.036
"Ottumwa, IA",-92.410,40.879
"Brownwood, TX",-99.000,31.774
"Shawano, WI",-88.750,44.851
"Dalton, GA",-84.848,34.796
"Torrington, CT",-73.245,41.792
"Goldsboro, NC",-78.004,35.364
"Warren, PA",-79.274,41.814
"Gettysburg, PA",-77.218,39.871
"Elmira, NY",-76.760,42.141
"Salem, OH",-80.777,40.768
"Hudson, NY",-73.632,42.250
"Wisconsin Rapids-Marshfield, WI",-90.042,44.455
"Garden City, KS",-100.970,38.027
"Fairmont, MN",-94.551,43.674
"Laramie, WY",-105.724,41.655
"Spencer, IA",-95.151,43.083
"Bennington, VT",-73.093,43.035
"Kendallville, IN",-85.418,41.399
"Alexander City, AL",-85.797,32.862
"Mexico, MO",-91.842,39.216
"Watertown-Fort Atkinson, WI",-88.776,43.021
"Greenfield Town, MA",-72.592,42.583
"Traverse City, MI",-85.552,44.725
"Columbia, SC",-81.042,34.092
"Reno, NV",-119.659,40.619
"Manchester-Nashua, NH",-71.716,42.915
"Centralia, IL",-88.919,38.650
"Clarksdale, MS",-90.603,34.229
"Salina, KS",-97.650,38.959
"Thomasville, GA",-83.919,30.864
"Othello, WA",-118.561,46.983
"Summerville, GA",-85.345,34.475
"Coldwater, MI",-85.059,41.916
"Holland, MI",-85.888,42.591
"Barre, VT",-72.615,44.273
"Vernon, TX",-99.241,34.081
"Norwalk, OH",-82.598,41.146
"Owatonna, MN",-93.226,44.022
"Chillicothe, OH",-83.057,39.338
"West Plains, MO",-91.887,36.774
"Oshkosh-Neenah, WI",-88.645,44.069
"Mount Vernon, IL",-88.924,38.301
"Roswell, NM",-104.467,33.363
"Nogales, AZ",-110.847,31.526
"West Point, MS",-88.782,33.656
"Guymon, OK",-101.490,36.748
"Fredericksburg, TX",-98.947,30.318
"Williston, ND",-103.480,48.344
"Fort Polk South, LA",-93.184,31.108
"Wenatchee, WA",-120.266,47.818
"Williamsport, PA",-77.065,41.343
"Wauchula, FL",-81.810,27.493
"Lebanon, PA",-76.458,40.367
"Indianola, MS",-90.589,33.602
"Mount Vernon, OH",-82.422,40.399
"Sedalia, MO",-93.285,38.728
"Dumas, TX",-101.893,35.838
"Lewisburg, PA",-77.062,40.963
"Meadville, PA",-80.106,41.685
"Washington Court House, OH",-83.456,39.560
"Fort Madison-Keokuk, IA-IL-MO",-91.413,40.475
"Wabash, IN",-85.794,40.846
"Fort Wayne, IN",-85.217,41.005
"Lewiston-Auburn, ME",-70.206,44.166
"Hutchinson, MN",-94.272,44.824
"Claremont-Lebanon, NH-VT",-72.161,43.784
"San Diego-Carlsbad, CA",-116.735,33.034
"Clewiston, FL",-81.166,26.553
"Sherman-Denison, TX",-96.678,33.627
"Fort Dodge, IA",-94.182,42.428
"Jacksonville, FL",-81.792,30.237
"Kingsport-Bristol-Bristol, TN-VA",-82.443,36.608
"Ocean City, NJ",-74.800,39.149
"Henderson, NC",-78.408,36.365
"Hutchinson, KS",-98.086,37.953
"Levelland, TX",-102.343,33.608
"Enterprise, AL",-85.988,31.403
"Sonora, CA",-119.955,38.028
"Cape Girardeau, MO-IL",-89.770,37.324
"Danville, VA",-79.398,36.811
"Stillwater, OK",-96.976,36.077
"Bedford, IN",-86.483,38.841
"Manitowoc, WI",-87.810,44.120
"Alice, TX",-98.090,27.731
"Zapata, TX",-99.169,27.001
"Laconia, NH",-71.423,43.518
"Punta Gorda, FL",-81.912,26.905
"Enid, OK",-97.783,36.379
"Lincoln, NE",-96.871,40.820
"Michigan City-La Porte, IN",-86.740,41.546
"Indianapolis-Carmel-Anderson, IN",-86.206,39.747
"Sault Ste. Marie, MI",-84.578,46.305
"Miami, OK",-94.810,36.836
"Santa Isabel, PR",-66.389,17.994
"Oxford, MS",-89.485,34.357
"Decatur, IL",-88.962,39.860
"Sturgis, MI",-85.528,41.914
"Des Moines-West Des Moines, IA",-93.940,41.548
"Waco, TX",-97.090,31.426
"Mayagüez, PR",-67.302,18.171
"Scottsbluff, NE",-103.738,42.159
"Detroit-Warren-Dearborn, MI",-83.233,42.719
"Charlottesville, VA",-78.576,37.852
"Portsmouth, OH",-82.993,38.804
"Ogdensburg-Massena, NY",-75.069,44.496
"Greensboro-High Point, NC",-79.792,36.026
"Albert Lea, MN",-93.349,43.674
"Charleston-Mattoon, IL",-88.229,39.420
"Selinsgrove, PA",-77.070,40.770
"Craig, CO",-108.207,40.618
"Jayuya, PR",-66.588,18.211
"Spearfish, SD",-103.792,44.359
"Jackson, MI",-84.423,42.248
"Zanesville, OH",-81.944,39.965
"Dickinson, ND",-102.655,46.811
"Pahrump, NV",-116.472,38.042
"Peoria, IL",-89.516,40.789
"Lawton, OK",-98.435,34.524
"Dubuque, IA",-90.882,42.469
"Waterloo-Cedar Falls, IA",-92.471,42.536
"Kearney, NE",-99.031,40.735
"Logansport, IN",-86.346,40.762
"Cullowhee, NC",-83.141,35.288
"California-Lexington Park, MD",-76.606,38.302
"Hagerstown-Martinsburg, MD-WV",-77.901,39.547
"Ithaca, NY",-76.474,42.452
"Crawfordsville, IN",-86.893,40.040
"Jennings, LA",-92.814,30.268
"Anchorage, AK",-149.542,62.243
"Blacksburg-Christiansburg-Radford, VA",-80.533,37.121
"Charlotte-Concord-Gastonia, NC-SC",-80.867,35.189
"Lufkin, TX",-94.612,31.255
"Hinesville, GA",-81.602,31.796
"Morehead City, NC",-76.659,34.836
"Pinehurst-Southern Pines, NC",-79.481,35.311
"Port Angeles, WA",-123.928,48.049
"Selma, AL",-87.106,32.326
"Fargo, ND-MN",-96.965,46.918
"Brownsville, TN",-89.284,35.583
"Stephenville, TX",-98.218,32.236
"Bucyrus, OH",-82.920,40.851
"Lawrenceburg, TN",-87.396,35.217
"Dixon, IL",-89.300,41.746
"Norfolk, NE",-97.490,42.044
"Aberdeen, SD",-98.696,45.522
